GM
-0.875
2.437
-1.187
-2.063
0.938
3
-0.563
-0.062
-1.375
-0.375
-0.125
0.062
1.75
-1.5
1.25
1
-1.5
-3.125
-0.687
0.812
-1.25
-2.5
0.125
-1.125
0.625
1.063
-0.875
1.125
5.875
2.875
0.812
1.875
-0.687
0.562
-1.187
0.437
1.188
0.5
-1.25
2
2
-0.438
2.25
-0.25
0.313
-1.063
1.25
0.563
-0.813
3.25
2.563
0.312
-0.437
-0.125
-0.688
1.5
-0.5
-0.937
-0.5
